student_id,class_level,department,strength_level,term1_avg,term2_avg,term3_avg,session_avg,consistency_score,performance_trend,t1_Mathematics,t1_English_Language,t1_Basic_Science,t1_Social_Studies,t1_Civic_Education,t1_Physical_Education,t1_Cultural_and_Creative_Arts,t1_Computer_Studies,t1_Business_Studies,t1_Agricultural_Science,t1_Home_Economics,t1_French,t2_Mathematics,t2_English_Language,t2_Basic_Science,t2_Social_Studies,t2_Civic_Education,t2_Physical_Education,t2_Cultural_and_Creative_Arts,t2_Computer_Studies,t2_Business_Studies,t2_Agricultural_Science,t2_Home_Economics,t2_French,t3_Mathematics,t3_English_Language,t3_Basic_Science,t3_Social_Studies,t3_Civic_Education,t3_Physical_Education,t3_Cultural_and_Creative_Arts,t3_Computer_Studies,t3_Business_Studies,t3_Agricultural_Science,t3_Home_Economics,t3_French,science_aptitude_score,arts_aptitude_score,commercial_aptitude_score,best_subject,best_subject_score,weak_subject,weak_subject_score,grade_A_count,grade_B_count,grade_C_count,grade_D_count,grade_E_count,grade_F_count,career_path,t1_Physics,t1_Chemistry,t1_Biology,t1_Further_Mathematics,t1_Computer_Science,t1_Geography,t2_Physics,t2_Chemistry,t2_Biology,t2_Further_Mathematics,t2_Computer_Science,t2_Geography,t3_Physics,t3_Chemistry,t3_Biology,t3_Further_Mathematics,t3_Computer_Science,t3_Geography,t1_Literature_in_English,t1_Government,t1_CRS_IRK,t1_History,t1_Economics,t1_Yoruba_Hausa_Igbo,t2_Literature_in_English,t2_Government,t2_CRS_IRK,t2_History,t2_Economics,t2_Yoruba_Hausa_Igbo,t3_Literature_in_English,t3_Government,t3_CRS_IRK,t3_History,t3_Economics,t3_Yoruba_Hausa_Igbo,t1_Accounting,t1_Commerce,t1_Office_Practice,t1_Insurance,t2_Accounting,t2_Commerce,t2_Office_Practice,t2_Insurance,t3_Accounting,t3_Commerce,t3_Office_Practice,t3_Insurance
1,JSS2,N_A,average,62.93,61.57,63.95,62.82,98.05,Stable,80.6,86.6,57.2,81.1,46.0,65.5,63.0,42.2,51.6,64.5,60.9,55.9,52.2,69.9,68.4,71.4,80.7,63.7,51.9,63.2,55.6,49.2,61.7,50.9,51.6,69.6,67.6,58.4,100.0,67.4,53.7,59.2,71.6,68.9,50.0,49.4,59.47,60.57,61.6,Civic_Education,100.0,French,49.4,1,5,5,1,0,0,Education & Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,JSS2,N_A,average,66.43,71.51,63.11,67.02,93.09,Stable,67.0,74.1,82.2,77.0,56.9,60.4,49.0,57.5,69.2,77.6,56.0,70.3,64.1,76.9,81.9,91.0,80.9,72.3,63.4,67.0,61.5,64.5,67.5,67.1,53.5,77.1,90.0,77.9,62.7,52.9,76.3,41.4,62.0,59.5,59.3,44.7,61.63,77.1,57.75,Basic_Science,90.0,Computer_Studies,41.4,4,0,6,0,2,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,JSS2,N_A,average,67.13,63.33,64.77,65.08,96.87,Stable,67.2,75.8,77.6,71.3,47.7,42.7,73.0,81.3,57.7,89.1,52.8,69.4,78.5,53.8,88.0,58.8,54.7,53.3,54.1,90.7,64.5,48.9,53.1,61.6,55.6,51.7,95.3,70.8,57.7,62.7,63.0,74.6,69.5,47.8,55.8,72.8,75.17,61.83,62.55,Basic_Science,95.3,Agricultural_Science,47.8,1,4,6,1,0,0,Computer Science & IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,JSS2,N_A,high,74.77,77.35,80.03,77.38,95.7,Improving,73.0,78.9,71.3,99.2,82.5,69.2,59.3,69.5,66.6,83.3,68.2,76.3,75.1,53.7,98.7,84.6,74.4,78.3,60.0,77.6,70.0,87.3,82.1,86.4,77.6,67.7,82.4,100.0,88.3,77.2,93.9,91.4,65.0,81.7,57.7,77.4,83.8,87.2,71.3,Social_Studies,100.0,Home_Economics,57.7,9,2,1,0,0,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,JSS2,N_A,average,65.62,68.3,69.57,67.83,96.71,Stable,88.4,75.7,66.8,78.1,50.9,44.1,47.5,83.6,73.1,55.9,67.9,55.4,74.2,54.9,84.3,71.1,63.2,58.4,79.6,100.0,64.2,57.7,50.8,61.2,87.9,57.7,84.9,74.8,82.0,60.7,71.4,74.4,52.6,71.6,73.1,43.7,82.4,67.97,70.25,Mathematics,87.9,French,43.7,3,5,3,0,1,0,Engineering & Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,JSS2,N_A,average,62.02,60.78,59.15,60.65,97.65,Stable,50.3,89.5,55.7,61.7,45.3,71.2,57.4,64.4,53.3,50.9,79.8,64.8,68.0,62.2,55.2,72.1,74.2,70.0,63.2,56.8,44.8,42.8,54.1,66.0,66.6,75.6,67.4,50.7,70.1,61.9,63.2,58.2,41.5,69.2,29.0,56.4,64.07,63.17,54.05,English_Language,75.6,Home_Economics,29.0,1,4,5,0,1,1,Education & Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,JSS2,N_A,high,73.86,77.19,78.96,76.67,95.77,Improving,76.5,80.9,72.1,92.4,70.4,88.6,68.1,67.3,78.6,64.4,58.6,68.4,83.9,70.5,65.4,94.3,82.5,66.1,72.9,68.3,91.3,83.2,63.4,84.5,93.7,78.3,74.5,85.4,56.5,66.5,69.2,87.2,99.6,94.2,79.7,62.7,85.13,77.63,96.65,Business_Studies,99.6,Civic_Education,56.5,7,3,2,0,0,0,Entrepreneurship & Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,JSS2,N_A,average,65.52,62.73,60.17,62.81,95.63,Declining,46.2,73.9,77.1,58.2,46.4,67.5,91.0,72.3,74.7,58.1,58.0,62.8,67.3,55.7,52.1,67.9,40.2,74.1,72.1,50.9,58.8,59.8,93.2,60.6,56.1,56.5,48.1,66.1,37.4,86.6,80.1,50.5,60.0,39.7,99.0,41.9,51.57,67.57,58.05,Home_Economics,99.0,Civic_Education,37.4,3,1,4,1,1,2,Creative Arts & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,JSS2,N_A,average,61.01,72.05,61.26,64.77,89.71,Stable,52.9,56.9,71.9,83.5,52.2,67.5,65.3,37.3,49.2,76.1,72.7,46.6,76.5,81.2,74.6,83.6,69.1,56.1,71.6,72.7,75.4,69.6,51.1,83.1,50.5,49.5,81.6,64.7,75.1,67.5,59.4,47.5,57.9,74.8,47.1,59.5,59.87,57.87,54.2,Basic_Science,81.6,Home_Economics,47.1,2,2,5,3,0,0,Agriculture & Environmental Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,JSS2,N_A,average,64.65,60.96,57.7,61.1,94.32,Declining,82.1,72.9,55.5,70.8,60.8,58.9,88.9,37.7,55.1,50.7,77.6,64.8,67.7,81.9,52.4,48.8,81.5,57.6,72.9,46.3,43.4,65.3,60.0,53.7,72.3,75.8,42.5,47.4,73.7,47.5,58.6,51.7,42.3,50.9,83.4,46.3,55.5,60.6,57.3,Home_Economics,83.4,Business_Studies,42.3,2,2,3,3,2,0,Creative Arts & Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
